username,comment,image,star,time,idProduct
alicefire,"Màu đẹp quá à. Giá rẻ mà cũng khá xịn xò. Mua về cho mẹ dùng, mẹ thích lắm",,5,1609936272,3355289986
locfci,Hình ảnh không liên quan . mua lần 2 máy dùng tốt nhưng không hiểu về hệ điều hành năm cho 5sao lần sau có dịp lại ủng hộ,,5,1610106951,3355289986
tienvu12,Điện thoại đẹp luôn xin sò luôn. Ae nào mua thìua đi đẹp luôn xin sò luôn. Ae nào mua thìua đi,,5,1610900565,3355289986
t*****g,Rất ok sài mướt. Màu camera tươi đẹp. Mình mua cho ngoại đọc báo rất ok,,5,1611012011,3355289986
m*****1,hhhsnsnsnns nhà hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnx,,5,1610078159,3355289986
h*****t,Dfhjbvxssfh vfsstjnbb cddsfiiewgbb chjfswtikb cfdhn vdfh,,5,1609924966,3355289986
aiphuong19,"Điện thoại đẹp, nhìn sang. Pin khoẻ, chụp hình khá ảo.Xài cũng cả tuần rồi chưa thấy lỗi lầm gì. Hy vọng bền. Shop giao nhanh.
Mắc cừ là sale cũng 2tr830. Giá không sale cũng 2tr830. Canh chetme rồi mua y 1 giá 😂😂😂😆😆😆😆",,5,1609794633,3355289986
bohungmehoa,"Nhìn chung là ổn, bền hay không thì phải dùng mới biết",,5,1609119733,3355289986
phubtbt,"Điện thoại đẹp giao hàng nhanh 
Chúc shop mua may bán đắt",,5,1610696434,3355289986
hathibop,Sản phẩm rất là ok. Sẽ ủng hộ lần sau. ,,5,1610541160,3355289986
cucbonggon24,"Giao hàng siêu nhanhhhhhhh
Chất lượng tốt
Thanks shop nhiềuuuuuuuuuuuuuu",,5,1609461276,4460537443
g*****n,"Hình ảnh chỉ mang tính chất k minh hoạ
Đt dùng rất tốt  _ trong tầm giá 3tr thì như mày là rất ok r 😍",,5,1608036601,3355289986
shopnhub,"Giao hàng nhanh , nguyên đai phụ kiện ko thiếu đồ nào ,sau 2 hôm ngon lành cành đào ,lần đầu mình mua đt trên mạng lên đánh giá hơi chậm, sản phẩm quá tuyệt vời",,5,1610063967,3355289986
t*****h,"Máy nhỏ. Khó dùng dấu phẩy trên bàn phím.
Nói chung là nói chung.",,5,1609419547,4460537443
thuythuy_259,"máy nhỏ, nhẹ, cầm có cảm giác cầm đồ chơi, nhân viên cskh nhiệt tình, giao hàng quá lâu, hộp đựng bị méo móp, vận chuyển ko nhẹ tay.",,5,1608869021,4460537443
uyenkle,máy mua ok 👍 😊😊😊😊😊😊😊😊👌😊😊👌👌😊👌👌👌👌👌👌😊👌👌👌😊👌👌👌👌😩👌👌👌👌😩😩😩👌👌👌👌👌👌😂💕,,5,1608971129,4460537443
v*****0,"Giá sale còn 1tr7, cấu hình đúng mô tả, đóng gói cẩn thận, giao nhanh. Máy dùng ok, dùng thử mấy ngày chưa thấy lỗi gì.",,5,1608404007,4460537443
anbinh1980,"Đóng gói cẩn thận, kỹ lưỡng, sản phẩm đẹp, nhỏ gọn, mới 💯, chất lượng thì chưa đánh giá được, hình ảnh sắc sảo... ",,5,1608019059,4460537443
dangthihoai_7301.,Sản phảm chất lượng giao hàng nhanh sẽ ủng hộ lâu dài,,5,1610347831,3355289986
thanhthuong1996,Vbjsbjd. Jnsusnsj kjsjsbsi jbssindi jsjdjjdfb jsjdjdjdi jsjiddbud gaguavsu jdjdidnjd hsnisbej jsjsjdbh hsjsbdi jsjdjdi jsjjenedni hsjsjdbjd ,,5,1610776014,3355289986
huynhthikimluong,"San phẩm chính hãng, check bảo hàng vẫn chưa thấy, hy vọng sau khi đánh giá sẽ thấy ngày dc bảo hành, cảm ơn ạ",,5,1610709591,3355289986
a*****6,"Sản phẩm đóng gói chắc chắn, mới nguyên, đẹp như trong hình 🤩🤩",,5,1610084072,3355289986
hotro,"Giao nhanh,  gói kĩ,  máy đẹp,  giá tốt hơn mua bên ngoài. ........................................",,5,1610512374,3355289986
thuy_chi_2015,"Nghía con này lâu lắm rồi, nhận được hàng ưng cái bụng. Màu này thiên về màu xanh như hình nhé.Hàng còn nguyên seal và bì bao bọc bên ngoài
Shop đóng gói cẩn thận lắm nhé. 
Cho shop 5*+ lun nha",,5,1608049583,3355289986
